nct_id,old_modality,matched_signal,file
NCT04207190,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT04209855,small_molecule,mirvetuximab soravtansine,master_DB_2019_Q4.json
NCT04205630,monoclonal_antibody,antibody-drug conjugate,master_DB_2019_Q4.json
NCT04202705,antibody_protein,antibody-drug conjugate,master_DB_2019_Q4.json
NCT04197687,monoclonal_antibody,trastuzumab emtansine,master_DB_2019_Q4.json
NCT04189614,small_molecule,antibody drug conjugate,master_DB_2019_Q4.json
NCT04182204,monoclonal_antibody,polatuzumab vedotin,master_DB_2019_Q4.json
NCT04177823,monoclonal_antibody,antibody drug conjugate,master_DB_2019_Q4.json
NCT04173585,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT04168502,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT04158947,monoclonal_antibody,t-dm1,master_DB_2019_Q4.json
NCT04152499,small_molecule,antibody drug conjugate,master_DB_2019_Q4.json
NCT04146610,antibody_protein,antibody drug conjugate,master_DB_2019_Q4.json
NCT04138875,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT04132960,small_molecule,antibody drug conjugate,master_DB_2019_Q4.json
NCT04093505,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT04073602,monoclonal_antibody,mmae,master_DB_2019_Q4.json
NCT04070768,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT04064359,antibody_protein,antibody-drug conjugate,master_DB_2019_Q4.json
NCT04052997,monoclonal_antibody,tesirine,master_DB_2019_Q4.json
NCT04050280,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT04042701,monoclonal_antibody,trastuzumab deruxtecan,master_DB_2019_Q4.json
NCT04042051,monoclonal_antibody,trastuzumab emtansine,master_DB_2019_Q4.json
NCT04039230,small_molecule,antibody-drug conjugate,master_DB_2019_Q4.json
NCT04036461,antibody_protein,antibody-drug conjugate,master_DB_2019_Q4.json
NCT04032704,monoclonal_antibody,vedotin,master_DB_2019_Q4.json
NCT04014075,monoclonal_antibody,trastuzumab deruxtecan,master_DB_2019_Q4.json
NCT03995706,small_molecule,sacituzumab govitecan,master_DB_2019_Q4.json
NCT03992131,small_molecule,sacituzumab govitecan,master_DB_2019_Q4.json
NCT03991884,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03975647,monoclonal_antibody,ado-trastuzumab,master_DB_2019_Q4.json
NCT03964727,small_molecule,sacituzumab govitecan,master_DB_2019_Q4.json
NCT03962465,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03959085,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03947255,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03926143,small_molecule,ravtansine,master_DB_2019_Q4.json
NCT03913741,monoclonal_antibody,tisotumab vedotin,master_DB_2019_Q4.json
NCT03913559,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03907488,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03904251,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03901339,small_molecule,sacituzumab govitecan,master_DB_2019_Q4.json
NCT03900949,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03894007,monoclonal_antibody,trastuzumab emtansine,master_DB_2019_Q4.json
NCT03891173,small_molecule,immunoconjugate,master_DB_2019_Q4.json
NCT03878927,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03869190,monoclonal_antibody,enfortumab vedotin,master_DB_2019_Q4.json
NCT03859752,antibody_protein,antibody drug conjugate,master_DB_2019_Q4.json
NCT03856216,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03851081,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03848754,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03839446,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03832361,small_molecule,mirvetuximab soravtansine,master_DB_2019_Q4.json
NCT03835819,monoclonal_antibody,mirvetuximab soravtansine,master_DB_2019_Q4.json
NCT03828292,small_molecule,antibody drug conjugate,master_DB_2019_Q4.json
NCT03816358,monoclonal_antibody,ravtansine,master_DB_2019_Q4.json
NCT03786081,monoclonal_antibody,tisotumab vedotin,master_DB_2019_Q4.json
NCT03784599,monoclonal_antibody,emtansine,master_DB_2019_Q4.json
NCT03755804,biologic,brentuximab vedotin,master_DB_2019_Q4.json
NCT03748186,antibody_protein,antibody drug conjugate,master_DB_2019_Q4.json
NCT03737955,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03734029,monoclonal_antibody,antibody drug conjugate,master_DB_2019_Q4.json
NCT03729596,antibody_protein,antibody drug conjugate,master_DB_2019_Q4.json
NCT03727750,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03725761,small_molecule,sacituzumab govitecan,master_DB_2019_Q4.json
NCT03726879,monoclonal_antibody,trastuzumab emtansine,master_DB_2019_Q4.json
NCT03719105,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03709082,monoclonal_antibody,t-dm1,master_DB_2019_Q4.json
NCT03712202,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03685344,monoclonal_antibody,loncastuximab tesirine,master_DB_2019_Q4.json
NCT03682796,small_molecule,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03684694,monoclonal_antibody,loncastuximab tesirine,master_DB_2019_Q4.json
NCT03677596,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03677141,monoclonal_antibody,polatuzumab vedotin,master_DB_2019_Q4.json
NCT03671018,monoclonal_antibody,polatuzumab vedotin,master_DB_2019_Q4.json
NCT03672539,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03657043,monoclonal_antibody,tisotumab vedotin,master_DB_2019_Q4.json
NCT03650491,small_molecule,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03652441,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03646123,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03628053,monoclonal_antibody,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03621982,monoclonal_antibody,tesirine,master_DB_2019_Q4.json
NCT03610438,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03602079,small_molecule,antibody drug conjugate,master_DB_2019_Q4.json
NCT03589469,monoclonal_antibody,loncastuximab tesirine,master_DB_2019_Q4.json
NCT03587844,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03589729,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03587740,monoclonal_antibody,ado-trastuzumab,master_DB_2019_Q4.json
NCT03587311,monoclonal_antibody,ravtansine,master_DB_2019_Q4.json
NCT03576378,small_molecule,vedotin,master_DB_2019_Q4.json
NCT03575819,small_molecule,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03568994,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03564678,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03556345,monoclonal_antibody,mmae,master_DB_2019_Q4.json
NCT03552471,small_molecule,mirvetuximab soravtansine,master_DB_2019_Q4.json
NCT03547973,small_molecule,sacituzumab govitecan,master_DB_2019_Q4.json
NCT03544281,antibody_protein,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03540849,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03533283,monoclonal_antibody,polatuzumab vedotin,master_DB_2019_Q4.json
NCT03539536,monoclonal_antibody,telisotuzumab vedotin,master_DB_2019_Q4.json
NCT03530696,monoclonal_antibody,t-dm1,master_DB_2019_Q4.json
NCT03527628,monoclonal_antibody,vedotin,master_DB_2019_Q4.json
NCT03525678,antibody_protein,antibody drug conjugate,master_DB_2019_Q4.json
NCT03531918,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03523585,monoclonal_antibody,trastuzumab deruxtecan,master_DB_2019_Q4.json
NCT03523572,monoclonal_antibody,trastuzumab deruxtecan,master_DB_2019_Q4.json
NCT03517137,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03529110,monoclonal_antibody,trastuzumab deruxtecan,master_DB_2019_Q4.json
NCT03505710,monoclonal_antibody,trastuzumab deruxtecan,master_DB_2019_Q4.json
NCT03504488,biologic,antibody drug conjugate,master_DB_2019_Q4.json
NCT03500380,oligonucleotide,mmae,master_DB_2019_Q4.json
NCT03496779,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03489525,antibody_protein,antibody drug conjugate,master_DB_2019_Q4.json
NCT03488225,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03485209,monoclonal_antibody,tisotumab vedotin,master_DB_2019_Q4.json
NCT03474133,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03474107,small_molecule,enfortumab vedotin,master_DB_2019_Q4.json
NCT03460522,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03455556,monoclonal_antibody,antibody drug conjugate,master_DB_2019_Q4.json
NCT03449030,monoclonal_antibody,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03438396,monoclonal_antibody,tisotumab vedotin,master_DB_2019_Q4.json
NCT03441061,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03441048,oligonucleotide,immunoconjugate,master_DB_2019_Q4.json
NCT03429101,monoclonal_antibody,t-dm1,master_DB_2019_Q4.json
NCT03425279,biologic,antibody drug conjugate,master_DB_2019_Q4.json
NCT03424603,antibody_protein,antibody drug conjugate,master_DB_2019_Q4.json
NCT03418558,monoclonal_antibody,trastuzumab emtansine,master_DB_2019_Q4.json
NCT03409432,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03403725,antibody_protein,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03390296,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03368196,small_molecule,antibody drug conjugate,master_DB_2019_Q4.json
NCT03374332,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03356054,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03364348,monoclonal_antibody,emtansine,master_DB_2019_Q4.json
NCT03316638,monoclonal_antibody,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03302728,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03288545,monoclonal_antibody,enfortumab vedotin,master_DB_2019_Q4.json
NCT03281824,monoclonal_antibody,mmae,master_DB_2019_Q4.json
NCT03274492,monoclonal_antibody,polatuzumab vedotin,master_DB_2019_Q4.json
NCT03264131,monoclonal_antibody,brentuximab vedotin,master_DB_2019_Q4.json
NCT03262935,monoclonal_antibody,antibody-drug conjugate,master_DB_2019_Q4.json
NCT03255070,small_molecule,antibody drug conjugate,master_DB_2019_Q4.json
NCT03249870,monoclonal_antibody,ozogamicin,master_DB_2019_Q4.json
NCT03248492,monoclonal_antibody,antibody drug conjugate,master_DB_2019_Q4.json
