nct_id,title,conditions,phase,modality
NCT06936943,"A Multicenter, Open-label, Uncontrolled Study to Evaluate the Efficacy and Safety of ONO-4538 in Patients With Richter's Transformation",Richter's Transformation,PHASE2,monoclonal_antibody
NCT06399185,Effect of Dexmedetomidine and Esketamine on Catheter-related Bladder Discomfort in Patients Undergoing Transurethral Surgery: a 2 x 2 Factorial Randomized Trial,Urinary Catheter | Catheter-related Bladder Discomfort | Dexmedetomidine | Esketamine,PHASE4,small_molecule
NCT07129460,"Efficacy and Safety of Berberine for Gastric Intestinal Metaplasia: a Prospective, Multicenter, Randomized, Double-blind, Placebo-controlled Clinical Trial",Gastric Intestinal Metaplasia,PHASE4,small_molecule
NCT07079176,Etomidate Combined With Propofol Versus Propofol for Sedation in High-Altitude Patients During Gastroscopy: a Randomized Multicenter Clinical Trial,Gastrointestinal Endoscopy,NA,small_molecule
NCT06367738,Investigating the Persisting Effects of a Single Dose of Psilocybin on Structural Plasticity in Healthy Older Adults,Aging,PHASE1,small_molecule
NCT05058638,Evaluation of Halitosis Using a Multi-Mineral Approach (Aquamin®),Healthy | Halitosis,PHASE2,small_molecule
NCT07174297,To Compare the Efficacy and Safety of Acotiamide Versus Itopride in Patient With Post Prandial Distress Syndrome Type of Functional Dyspepsia,Postprandial Distress Syndrome,PHASE3,small_molecule
NCT06142708,The Effect of Dual Trigger (GnRH Agonist + hCG) for Final Maturation in Oocyte Donors With History of a Previous Cycle With Suboptimal Response to GnRH Agonist Only Trigger,Ovarian Stimulation | Human Chorionic Gonadotropin | Oocyte Donors,NA,small_molecule
NCT07142486,Effects of Omeprazole Ingestion on Postprandial Amino Acid Concentrations in Response to a Mixed Meal: A Pilot Study,Digestive Health | Gastrointestinal Health,NA,small_molecule
NCT07169227,"The Comparison of the Efficacy of Lidocaine, Paracetamol, and Dexmedetomidine in Preventing Rocuronium Injection Pain",Propofol Injection Pain | Rocuronium Injection Pain,PHASE4,small_molecule
NCT05382637,Growth Hormone in a Patient With a Dominant-Negative GHR Mutation,Growth Disorders,PHASE2,small_molecule
NCT06319729,"The Efficacy and Safety of a Chinese Herbal Medicine for the Constipation-predominant Irritable Bowel Syndrome (IBS-C): a Double-blinded, Placebo-controlled, Randomized Pilot Clinical Trial",Constipation-predominant Irritable Bowel Syndrome,PHASE2,small_molecule
NCT06568887,Effectiveness of 5% Dextrose Water (D/W) Versus Corticosteroid Injection for Pain Management of Sacroiliac Joint Dysfuntion,Sacroiliac Joint Dysfunction,NA,combination
NCT06372561,Comparative Evaluation of Melatonin Versus Mineral Trioxide Aggregate on Vital Pulp Therapy in Young Permanent First Molars: An in Vivo Study,Dental Caries in Children | Vital Pulp Therapy,NA,small_molecule
NCT07152561,Effect of Two Different Luting Cements on Clinical Outcomes of Pediatric Zirconia Crowns: A Randomized Controlled Trial,Dental Caries in Children,NA,small_molecule
NCT06136585,"Comparison of Efficacy of Sugammadex Versus Neostigmine in Reversing Neuromuscular Blocks in Patients Having Outpatient Endoscopic Retrograde Cholangiopancreatography (ERCP). A Randomized, Double-Blinded Trial",Neuromuscular Blocks,PHASE3,small_molecule
NCT06371014,Comparative Study on the Efficacy and Safety of Ondansetron Oral Membrane for the Prevention of Vomiting During Moderate Hypoemetic Chemotherapy,To Analyze and Compare the Efficacy and Safety of Ondansetron and Tablet for the Prevention of Moderate and Hypoemetic Chemotherapy,NA,small_molecule
NCT05545384,Immediate Versus Delayed Treatment With Azathioprine or Rituximab in Anti-myelin Oligodendrocytes Glycoprotein (Anti-MOG) Antibodies Associated Acute Demyelinating Syndromes in Children: a Randomized Controlled Clinical Trial,Acute Demyelinating Syndrome,PHASE3,small_molecule
NCT07228104,Adjuvant STeRoid Outcomes in Idiopathic Subglottic Stenosis,Idiopathic Subglottic Stenosis,PHASE3,small_molecule
NCT06692192,"Role of Experience, Conscious Awareness, and Plasticity in Psilocybin's Behavioral Effects - Follow-Up Study (The RECAP 2 Study)",Psilocybin,PHASE1,small_molecule
NCT04550923,"Comparison of Rigid and Non-Rigid Interbody Fusion Device for Cervical Degenerative Disc Disease in Adults - A Randomized, Prospective, Multicenter Clinical Trial",Cervical Disc Degeneration,PHASE4,combination
NCT05696353,Adoption and Implementation of an Evidence-based Safe Driving Program for High-Risk Teen Drivers,"Drive | Recidivism | Communication | Feedback, Psychological",PHASE3,combination
NCT06177535,"The Effect of Oral Kavalactones on Cortisol, Measures of Burnout, and Motivation in Nurses",Stress,NA,other_drug
NCT06579820,Effect of Tubular Bandage Application on Peripheral Intravenous Catheter Usage Time and Infiltration in Children,"Child, Only",NA,combination
